Score,City,Address,Price,Est_Monthly_Rent,Reasoning,Action
9.5,Cleveland,"821 E 156th St","$104,000","10.5%","Outstanding 1.35% rent-to-price ratio, well exceeding the 1% rule. Located in a stable Class C working-class neighborhood with strong tenant demand. Low entry price preserves cash reserves.","Submit cash offer at $90,000 (13.5% below list) assuming DOM > 30. Prioritize checking roof and HVAC condition during inspection."
9.4,Cleveland,"7104 Dearborn Ave","$104,900","10.4%","Strong 1.33% rent-to-price ratio. High-yield cash-flow play in a Class C neighborhood. Fits perfectly within our 8-12% Net CoC return goal.","Submit cash offer at $91,000 (13.2% below list) assuming DOM > 30. Confirm status of major mechanical systems."
9.2,Cleveland,"10401 Olivet Ave","$109,000","10.0%","1.28% rent-to-price ratio easily satisfies the 1% rule. Solid Class C neighborhood location with steady long-term rental demand and excellent double-digit cash-flow prospects.","Offer $95,000 (12.8% below list) assuming DOM > 30. Require mechanical updates verification."
9.1,Cleveland,"3377 E 132nd St","$109,900","9.9%","Strong rental yield play at 1.27% rent-to-price. Located in a stable Class C neighborhood with reliable blue-collar renter base.","Submit cash offer of $96,000 (12.6% discount) if DOM > 30. Request seller to verify roof and HVAC ages."
9.1,Cleveland,"8210 Dorver Ave","$109,900","9.9%","Meets the 1% rule easily with a 1.27% rent-to-price ratio. High cash-on-cash potential in a stable C-class pocket of the city.","Offer $95,000 (13.5% below list) assuming DOM > 30. Verify roof and structural integrity to safeguard Capex."
8.9,Cleveland,"3162 W 104th St","$114,900","9.5%","1.22% rent-to-price ratio. Highly desirable West Side Cleveland Class B/C neighborhood with high historic occupancy rates.","Offer $100,000 (13.0% discount) assuming DOM > 30. Ensure HVAC and electrical systems are updated."
8.8,Cleveland,"12218 Brooklawn Ave","$115,000","9.5%","Exceeds the 1% rule at 1.22% rent-to-price. Located in a highly rentable, stable B/C Class pocket of Cleveland. Strong estimated yield.","Offer $100,000 (13.0% below list) if DOM > 30. Inspect roof age to maintain the Capex shield."
8.6,Cleveland,"9008 Birchdale Ave","$119,000","9.2%","Meets 1% rule comfortably at 1.18% rent-to-price. Class C location. Solid yield profile matching target cash-flow criteria.","Offer $103,000 cash (13.4% discount) assuming DOM > 30. Request standard seller disclosures on mechanical systems."
8.5,Cleveland,"12013 Gay Ave","$120,000","9.1%","Strong Class C neighborhood asset. 1.17% rent-to-price ratio provides a highly reliable 9.1% estimated Net CoC return.","Submit cash offer of $105,000 (12.5% below list) if DOM > 30. Confirm roof condition is optimal."
8.2,Cleveland,"12709 Dove Ave","$125,000","8.7%","Solid 1.12% rent-to-price ratio. Class C neighborhood with reliable tenant base. Net CoC return falls securely within the target range.","Offer $110,000 (12.0% discount) if DOM > 30. Prioritize the inspection of the HVAC and hot water systems."
